,importance,feature
29,0.06,C14
16,0.04,C1
2,0.04,TransactionAmt
4,0.04,card1
21,0.04,C6
311,0.04,V258
369,0.02,V316
349,0.02,V296
98,0.02,V45
368,0.02,V315
393,0.02,id_01
370,0.02,V317
108,0.02,V55
395,0.02,id_03
398,0.02,id_06
50,0.02,M6
409,0.02,id_17
106,0.02,V53
0,0.02,TransactionID
334,0.02,V281
33,0.02,D4
122,0.02,V69
123,0.02,V70
149,0.02,V96
286,0.02,V233
182,0.02,V129
259,0.02,V206
202,0.02,V149
254,0.02,V201
205,0.02,V152
1,0.02,TransactionDT
218,0.02,V165
37,0.02,D8
338,0.02,V285
8,0.02,card5
6,0.02,card3
32,0.02,D3
23,0.02,C8
19,0.02,C4
26,0.02,C11
9,0.02,card6
15,0.02,R_emaildomain
5,0.02,card2
290,0.0,V237
296,0.0,V243
295,0.0,V242
294,0.0,V241
293,0.0,V240
292,0.0,V239
291,0.0,V238
414,0.0,id_22
289,0.0,V236
297,0.0,V244
287,0.0,V234
428,0.0,id_36
285,0.0,V232
284,0.0,V231
283,0.0,V230
282,0.0,V229
281,0.0,V228
280,0.0,V227
279,0.0,V226
288,0.0,V235
299,0.0,V246
298,0.0,V245
309,0.0,V256
318,0.0,V265
317,0.0,V264
316,0.0,V263
315,0.0,V262
314,0.0,V261
313,0.0,V260
312,0.0,V259
426,0.0,id_34
310,0.0,V257
308,0.0,V255
277,0.0,V224
307,0.0,V254
427,0.0,id_35
306,0.0,V253
305,0.0,V252
304,0.0,V251
303,0.0,V250
302,0.0,V249
301,0.0,V248
300,0.0,V247
278,0.0,V225
274,0.0,V221
276,0.0,V223
431,0.0,DeviceType
251,0.0,V198
250,0.0,V197
249,0.0,V196
248,0.0,V195
247,0.0,V194
246,0.0,V193
245,0.0,V192
244,0.0,V191
243,0.0,V190
242,0.0,V189
275,0.0,V222
241,0.0,V188
240,0.0,V187
239,0.0,V186
238,0.0,V185
237,0.0,V184
236,0.0,V183
235,0.0,V182
234,0.0,V181
233,0.0,V180
252,0.0,V199
253,0.0,V200
430,0.0,id_38
255,0.0,V202
429,0.0,id_37
320,0.0,V267
273,0.0,V220
272,0.0,V219
271,0.0,V218
270,0.0,V217
269,0.0,V216
268,0.0,V215
267,0.0,V214
266,0.0,V213
265,0.0,V212
264,0.0,V211
263,0.0,V210
262,0.0,V209
261,0.0,V208
260,0.0,V207
258,0.0,V205
257,0.0,V204
256,0.0,V203
319,0.0,V266
323,0.0,V270
321,0.0,V268
379,0.0,V326
388,0.0,V335
387,0.0,V334
386,0.0,V333
385,0.0,V332
384,0.0,V331
383,0.0,V330
382,0.0,V329
381,0.0,V328
380,0.0,V327
378,0.0,V325
390,0.0,V337
377,0.0,V324
376,0.0,V323
375,0.0,V322
374,0.0,V321
373,0.0,V320
372,0.0,V319
371,0.0,V318
419,0.0,id_27
420,0.0,id_28
389,0.0,V336
391,0.0,V338
366,0.0,V313
403,0.0,id_11
412,0.0,id_20
411,0.0,id_19
410,0.0,id_18
415,0.0,id_23
408,0.0,id_16
407,0.0,id_15
406,0.0,id_14
405,0.0,id_13
404,0.0,id_12
402,0.0,id_10
392,0.0,V339
401,0.0,id_09
400,0.0,id_08
416,0.0,id_24
399,0.0,id_07
417,0.0,id_25
397,0.0,id_05
396,0.0,id_04
418,0.0,id_26
394,0.0,id_02
367,0.0,V314
365,0.0,V312
322,0.0,V269
332,0.0,V279
341,0.0,V288
340,0.0,V287
339,0.0,V286
231,0.0,V178
337,0.0,V284
336,0.0,V283
335,0.0,V282
424,0.0,id_32
333,0.0,V280
425,0.0,id_33
343,0.0,V290
331,0.0,V278
330,0.0,V277
329,0.0,V276
328,0.0,V275
327,0.0,V274
326,0.0,V273
325,0.0,V272
324,0.0,V271
413,0.0,id_21
342,0.0,V289
344,0.0,V291
364,0.0,V311
354,0.0,V301
