,importance,feature
311,0.10531667241778667,V258
16,0.046018864739303604,C1
4,0.03639301065534114,card1
5,0.033147668729278414,card2
2,0.033141159504565636,TransactionAmt
10,0.032401640623357084,addr1
1,0.029174701797296382,TransactionDT
28,0.02785309655134416,C13
29,0.027629567897336473,C14
0,0.027418964761380338,TransactionID
27,0.023406529523641077,C12
209,0.014872284492533114,V156
14,0.013124415075098116,P_emaildomain
8,0.011705665426782218,card5
423,0.011479209127892213,id_31
370,0.011304034741708248,V317
394,0.0111586276709369,id_02
12,0.011044008622726116,dist1
33,0.010327692630560666,D4
44,0.009497592308759262,D15
30,0.009288392092080718,D1
366,0.00877518093698909,V313
39,0.00836772024917467,D10
21,0.008067060759407671,C6
31,0.00749520086027492,D2
26,0.006946548805936236,C11
183,0.006577893678760246,V130
409,0.0065220405624467175,id_17
17,0.00647185464772504,C2
412,0.006232111017019514,id_20
432,0.006191772480359064,DeviceInfo
48,0.006157581427936426,M4
115,0.005919426967991386,V62
9,0.005721907285821159,card6
37,0.0056610541368399825,D8
368,0.00562370691682638,V315
15,0.005420452670745922,R_emaildomain
6,0.005350541792245403,card3
336,0.005243320764507775,V283
40,0.005200378046686027,D11
140,0.005174555128915772,V87
411,0.005135309565411375,id_19
397,0.004958933235199271,id_05
363,0.0049537302442871495,V310
7,0.004781168740763701,card4
24,0.004660391384287124,C9
50,0.004629226601996017,M6
393,0.004546872805015644,id_01
32,0.004368360808489096,D3
398,0.00420454160707623,id_06
202,0.004037894625591138,V149
98,0.0038878600640162983,V45
367,0.0037902744387787565,V314
34,0.0036476386846230253,D5
425,0.003612897685471648,id_33
73,0.0035354915578916382,V20
422,0.003460391111690239,id_30
20,0.0033985197485083586,C5
13,0.0033481106127968255,dist2
361,0.0033235035968287407,V308
360,0.003290232816618156,V307
135,0.003190727762387119,V82
43,0.003113360961766596,D14
405,0.0030651301821136875,id_13
242,0.0029949497908269332,V189
365,0.002987961815596841,V312
42,0.00298528830748635,D13
25,0.0029651358471027,C10
385,0.0026511410362518627,V332
23,0.0026489691476831866,C8
200,0.0026102796199962393,V147
373,0.0025046380514312707,V320
335,0.002497254529617428,V282
410,0.002433044861426237,id_18
315,0.0023985597257104962,V262
186,0.002378218331429704,V133
91,0.002341182194450145,V38
65,0.00231648692854601,V12
119,0.0023020127456974404,V66
334,0.002269783011451695,V281
47,0.0022334299336133675,M3
38,0.0021918385494324104,D9
338,0.00216954427611033,V285
66,0.002127336586908873,V13
344,0.0021132488655730675,V291
401,0.0020674764762907125,id_09
89,0.0020640599998193905,V36
129,0.002063896663800714,V76
52,0.001993002560798776,M8
49,0.0019283187522783226,M5
107,0.001862747754236813,V54
106,0.0018329258639472369,V53
58,0.0018088256665917928,V5
184,0.0017978345787324926,V131
180,0.0017806287733233416,V127
189,0.0017801758643462696,V136
371,0.0017460143169612955,V318
395,0.001731871283066254,id_03
41,0.0017168850654949667,D12
165,0.0016908111050623355,V112
359,0.001683325701689244,V306
136,0.0016812235699918705,V83
53,0.001632052202662609,M9
354,0.0015647280177122896,V301
131,0.0015513241845772929,V78
120,0.0015296122371187956,V67
128,0.0015164860144553766,V75
19,0.001497826811371133,C4
251,0.001472153822987319,V198
97,0.0014697784581705826,V44
90,0.0014691350438394801,V37
79,0.001458357128979988,V26
109,0.001445043293977698,V56
222,0.0014430548348878672,V169
402,0.0014090635802082104,id_10
364,0.0014030012321895565,V311
276,0.0013671930696606744,V223
51,0.0013658812877009807,M7
181,0.001365089999843723,V128
213,0.0013543775738865337,V160
130,0.0013465750962390534,V77
188,0.0013266585417612748,V135
278,0.0013207572986366463,V225
114,0.0013164567033013088,V61
88,0.001295959690390654,V35
349,0.001286066466663078,V296
139,0.0012404002047591402,V86
406,0.0012062334413075375,id_14
253,0.0011823869709209445,V200
347,0.0011738908310042332,V294
63,0.0011445409561820013,V10
362,0.0011444838746226252,V309
46,0.0011269330052444877,M2
374,0.0011242743114754775,V321
248,0.0011174726794340134,V195
84,0.0011144486409686892,V31
102,0.00110778810372539,V49
155,0.0011070601707704095,V102
35,0.0010830354453217424,D6
149,0.0010806511272724922,V96
179,0.0010768480790809727,V126
77,0.0010722526369113456,V24
127,0.0010622795289153219,V74
100,0.0010479694477921004,V47
55,0.0010456938358155369,V2
78,0.0010293130979188681,V25
86,0.001009877390917285,V33
190,0.001000382989285381,V137
64,0.0009956551554393296,V11
187,0.0009949009491707053,V134
323,0.000989332910540581,V270
150,0.0009855667779693612,V97
318,0.0009822785955591214,V265
220,0.0009808615635537787,V167
240,0.0009688461300979138,V187
203,0.0009658783784490294,V150
185,0.0009657840843306496,V132
93,0.0009613033887925529,V40
138,0.0009256703885777031,V85
195,0.0009115817030133847,V142
330,0.0008949889321831104,V277
56,0.0008740111491431444,V3
3,0.0008667596446738429,ProductCD
430,0.0008663146139688506,id_38
263,0.0008636928807313402,V210
341,0.0008500421130593221,V288
298,0.0008455116989772583,V245
101,0.0008393722973321411,V48
72,0.0008380382898243547,V19
99,0.0008279083420891988,V46
211,0.0008276049419456101,V158
36,0.0008256629456067916,D7
192,0.0008184727589346237,V139
104,0.0008167233186690581,V51
320,0.000815752328659825,V267
431,0.0008064294611054829,DeviceType
87,0.0008034357102748136,V34
108,0.0007968880275743302,V55
351,0.00078825823816829,V298
182,0.0007799851545507157,V129
299,0.0007747718854834336,V246
310,0.0007691150554088669,V257
105,0.0007672874185641828,V52
76,0.0007599447615855803,V23
152,0.0007571527295350126,V99
