,importance,feature
243,0.032708062022186415,V190
409,0.02974414866748985,id_17
271,0.027986018226179934,V218
1,0.023477746943395245,TransactionDT
2,0.020586195358586627,TransactionAmt
0,0.02028417518181947,TransactionID
5,0.01866473437061447,card2
4,0.018488090449637416,card1
10,0.015572100833361455,addr1
14,0.013630127530314642,P_emaildomain
29,0.013285374497237304,C14
28,0.01282985521109788,C13
299,0.012003143370316677,V246
21,0.01190586298925826,C6
8,0.011715464181398889,card5
16,0.010335731128162641,C1
121,0.008931145829901767,V68
9,0.008825940350455778,card6
305,0.008803776019527787,V252
12,0.00764406550427603,dist1
44,0.007606001051204093,D15
17,0.007561009211963576,C2
186,0.00750618034279389,V133
7,0.0073220583586019435,card4
30,0.007227328827121567,D1
26,0.006616355310180696,C11
50,0.006133657123905707,M6
344,0.006052673314805585,V291
31,0.005763308374000395,D2
48,0.005759866257387932,M4
33,0.005552691870852067,D4
39,0.005523345832918927,D10
332,0.005450087524608063,V279
412,0.00537650227284533,id_20
370,0.005334018978961528,V317
360,0.005247522686280618,V307
394,0.005233162999605023,id_02
15,0.005036222008065366,R_emaildomain
49,0.004993048864559028,M5
363,0.004987289290861626,V310
393,0.004941181994536442,id_01
432,0.004850858708441043,DeviceInfo
411,0.004714448601793663,id_19
423,0.004704997494758468,id_31
200,0.004579091057874805,V147
335,0.004538300711188301,V282
367,0.004530142770852006,V314
252,0.004484349161543893,V199
24,0.00446081248835515,C9
180,0.004443951622380159,V127
336,0.004375483946589724,V283
27,0.004373049970100666,C12
347,0.004359918298229141,V294
398,0.004253496892529656,id_06
52,0.004176791805033858,M8
365,0.004159139606442524,V312
231,0.0041202102227167895,V178
149,0.004112362390294577,V96
106,0.00411035029683882,V53
139,0.0040906631722465205,V86
405,0.0040342337801930845,id_13
361,0.004015143410467279,V308
366,0.003992630315582783,V313
362,0.003935310876605321,V309
40,0.003911371698631476,D11
368,0.0038854343635279943,V315
34,0.0038639241182396376,D5
120,0.0037417005755213516,V67
349,0.003696537350488001,V296
135,0.0036720169419268683,V82
338,0.0036495868026905453,V285
397,0.003642773636985929,id_05
115,0.003639856403498644,V62
341,0.0035929101702302244,V288
65,0.0035066653883939003,V12
183,0.003458469115371149,V130
296,0.0034477511149870227,V243
98,0.0033388966073897007,V45
32,0.0033196277631340194,D3
6,0.003289733625937849,card3
107,0.0032522139593213206,V54
152,0.003191549370695401,V99
97,0.0031870848945855425,V44
73,0.003184403108640021,V20
342,0.0031040013126855163,V289
136,0.003094659525697284,V83
23,0.0030825832164898316,C8
114,0.0030587365893104085,V61
53,0.003056905553342827,M9
150,0.0030559015596962943,V97
89,0.0030181263063277356,V36
178,0.0029746985487012633,V125
340,0.002967411490334086,V287
333,0.002895072526282249,V280
90,0.0027689595520608242,V37
91,0.0027530710785377767,V38
410,0.0027374135822897613,id_18
369,0.0027366721159231408,V316
371,0.0027159399359960013,V318
140,0.0027004512463454067,V87
51,0.002646188885981042,M7
66,0.0026385173428467175,V13
187,0.0026325660034778246,V134
131,0.002623013083552989,V78
13,0.0026229432015568216,dist2
155,0.0026082449916890993,V102
278,0.0025969661728598046,V225
348,0.002537787443638293,V295
19,0.002492619170675867,C4
244,0.002487607803206086,V191
359,0.00248581092691845,V306
77,0.0024338569922772485,V24
209,0.0024135933390317978,V156
208,0.002381692963818554,V155
181,0.0023511799619133056,V128
109,0.0023432820690712963,V56
179,0.0023331607844669284,V126
176,0.002301935320072102,V123
185,0.002280996857629321,V132
345,0.0022404133825969876,V292
129,0.0022277781507586856,V76
351,0.002218026917118832,V298
253,0.0022138486992442754,V200
88,0.0022107371295018757,V35
47,0.0021840713631835706,M3
25,0.0021573081749623334,C10
153,0.002148577421094741,V100
431,0.0020979461502835797,DeviceType
72,0.002092648580040348,V19
38,0.0020922815605470308,D9
100,0.002075481843852559,V47
189,0.0020752050572306257,V136
276,0.002053930388286293,V223
104,0.0020479533443877123,V51
307,0.002022859653660676,V254
130,0.002019325779344578,V77
334,0.0020121468095651196,V281
222,0.002011923212335555,V169
56,0.0020073607141030334,V3
58,0.0020072308811510072,V5
20,0.001998282638795079,C5
328,0.0019756434905523743,V275
297,0.0019755093422542222,V244
184,0.0019597653534582523,V131
395,0.0019350716101248673,id_03
396,0.001918929088684948,id_04
128,0.0019106006617134329,V75
80,0.001886645742680581,V27
373,0.0018705788191034558,V320
311,0.0018658965626670168,V258
46,0.0018594069415734183,M2
425,0.0018592340523103125,id_33
207,0.0018575929289636381,V154
250,0.0018482582804700415,V197
99,0.0018443418622559526,V46
37,0.0018434330779976485,D8
239,0.0018186037269254977,V186
43,0.0018166791236471256,D14
401,0.0018011900533458879,id_09
96,0.001800838563376735,V43
127,0.0017898692932622178,V74
156,0.0017748757204920048,V103
201,0.0017602180336878754,V148
92,0.0017439679489905193,V39
295,0.001727564649969596,V242
242,0.0017092699836636447,V189
374,0.001708088741641862,V321
354,0.0017014503012210843,V301
337,0.00168928855873591,V284
105,0.001685087144111558,V52
406,0.0016840489545040108,id_14
177,0.0016655973569811267,V124
119,0.0016588936854272293,V66
57,0.0016447469941052117,V4
247,0.0016425703457118716,V194
168,0.0016233744452861677,V115
352,0.0016100282930065688,V299
277,0.001589640435855507,V224
422,0.0015862241542096622,id_30
256,0.0015355953494577616,V203
274,0.001521509784913218,V221
182,0.001502543264703256,V129
343,0.0014649568466539632,V290
76,0.00146223758130128,V23
102,0.001450633203742414,V49
430,0.0014337905405866248,id_38
22,0.0014330026505373868,C7
42,0.0014256500839785163,D13
87,0.0013782774569928713,V34
241,0.0013710322810376824,V188
225,0.0013338265923587653,V172
108,0.0013064210594101757,V55
313,0.0013013295749993413,V260
86,0.0012967773065174896,V33
60,0.0012592311190730118,V7
263,0.0012458712964615165,V210
82,0.001228091455099355,V29
63,0.0012250290556584129,V10
251,0.0012133002383955076,V198
357,0.001210355873797444,V304
3,0.0012051954072289776,ProductCD
317,0.001196435148737083,V264
158,0.0011920152344637022,V105
148,0.0011898238144691935,V95
273,0.0011887858047905078,V220
265,0.0011675965079352916,V212
190,0.0011521069530210475,V137
126,0.001134031208256482,V73
35,0.0011329997039261663,D6
41,0.0011264959582435005,D12
364,0.0011209570260981424,V311
346,0.001118250792288979,V293
111,0.0011164154520932495,V58
314,0.0011108467485190093,V261
55,0.0011035316717869076,V2
79,0.0011033382075978332,V26
36,0.001102554652517042,D7
154,0.0010965531038503115,V101
315,0.0010958723022711366,V262
122,0.0010853899761892544,V69
356,0.0010840312473507513,V303
407,0.0010688975748610954,id_15
312,0.0010596537010045262,V259
248,0.001054227483943347,V195
236,0.0010510303354495515,V183
151,0.0010402502954666069,V98
93,0.0010386454259839202,V40
159,0.0010353706487786455,V106
321,0.0010336809591132675,V268
64,0.0010263111363940781,V11
283,0.0010177982808754235,V230
316,0.0010111435770842527,V263
268,0.0010079524923420392,V215
62,0.0010058402758984003,V9
257,0.0010040818584894301,V204
324,0.0009849592500080784,V271
408,0.0009827522146760301,id_16
372,0.0009810113813447147,V319
379,0.0009702834192372831,V326
78,0.0009657943053811104,V25
429,0.0009644901087982447,id_37
298,0.0009532587034181819,V245
306,0.0009345804746878885,V253
169,0.000933402871548564,V116
144,0.000926745122366895,V91
304,0.0009244373503844724,V251
353,0.0009226382706278943,V300
240,0.0009215337437923142,V187
415,0.0009205217628034188,id_23
272,0.0009181645859329664,V219
266,0.0009091305574412547,V213
227,0.0009077242694105099,V174
318,0.0009043731045553237,V265
202,0.0009037933452182348,V149
303,0.0009015623765606033,V250
138,0.0008987136471724488,V85
377,0.0008935377940363687,V324
309,0.0008895870758683555,V256
205,0.0008778543788453229,V152
326,0.0008770174587762135,V273
101,0.0008686966243875582,V48
95,0.0008631165918257103,V42
11,0.0008538078169062464,addr2
255,0.0008533597428436265,V202
258,0.0008483229985658238,V205
301,0.0008460444884537573,V248
300,0.0008436684067784242,V247
285,0.0008421101492824417,V232
291,0.0008379308791062705,V238
188,0.0008341833082218124,V135
146,0.0008334631059353852,V93
339,0.0008228196670216758,V286
254,0.0008211726076740462,V201
228,0.0008194472823958044,V175
287,0.00081310649839435,V234
350,0.0008028844326996367,V297
282,0.0007989019067661626,V229
402,0.0007927525938972052,id_10
59,0.0007922795058383226,V6
302,0.0007881225914248758,V249
112,0.0007876510306133184,V59
233,0.000787571916437049,V180
323,0.0007773584934241001,V270
132,0.0007767264523744696,V79
420,0.0007694720716351125,id_28
275,0.0007683395238650421,V222
281,0.0007666464175206156,V228
71,0.0007628619961214032,V18
269,0.0007550555690938621,V216
223,0.0007398804055850629,V170
118,0.000737486737222923,V65
421,0.0007318761920607857,id_29
83,0.0007307745640681549,V30
214,0.0007266920275606597,V161
110,0.0007248228838811237,V57
204,0.0007203762356195427,V151
413,0.0007156287253429183,id_21
288,0.000710996292723058,V235
203,0.0007022555633158875,V150
134,0.0006944759526305254,V81
162,0.0006910819990693445,V109
147,0.0006894134360391041,V94
376,0.0006771730047616238,V323
310,0.0006609278750495436,V257
61,0.0006574892242474912,V8
235,0.0006498273902482461,V182
103,0.0006469135799850505,V50
210,0.0006406954893717211,V157
224,0.0006318170203958494,V171
330,0.0006272466238404571,V277
229,0.0006254243755143424,V176
145,0.000613598317007456,V92
238,0.0006121898059291287,V185
143,0.0006107783291115604,V90
426,0.0006056571097975503,id_34
320,0.0005875098298787012,V267
163,0.0005849978096976299,V110
193,0.0005803111107068659,V140
308,0.0005784365468270196,V255
157,0.0005739574471394969,V104
113,0.0005676724942929092,V60
125,0.0005628641359889004,V72
331,0.0005627770210048636,V278
167,0.0005566939156456611,V114
284,0.0005553367072969871,V231
220,0.0005532713028945247,V167
261,0.0005528362705303044,V208
85,0.0005517853240822299,V32
226,0.0005500841242387146,V173
117,0.0005439778850760134,V64
230,0.0005365047994645396,V177
133,0.0005308489496089042,V80
45,0.0005250226849404094,M1
123,0.000520792538230586,V70
54,0.0005173539268230537,V1
400,0.0005154561265480237,id_08
234,0.0005144315304571725,V181
329,0.000513673694732466,V276
403,0.0005127941781687338,id_11
245,0.0005115023182438763,V192
404,0.0005082800622207308,id_12
325,0.0005069792029549047,V272
292,0.000505927648190049,V239
280,0.000504827211752111,V227
428,0.0005026120389785471,id_36
327,0.0004908063941742079,V274
232,0.00048749019380425583,V179
165,0.0004797366803627537,V112
137,0.00046354657256352384,V84
382,0.00045910262888712876,V329
424,0.00045797207006646046,id_32
94,0.0004524076199145673,V41
270,0.000449636625934965,V217
267,0.00044346254497668915,V214
375,0.00043464718842484477,V322
221,0.00042821298900402123,V168
211,0.0004249705239345127,V158
417,0.0004212009013910707,id_25
290,0.00041086755404720496,V237
262,0.00040952156784073216,V209
237,0.00040834017681977273,V184
381,0.00040757642073023536,V328
116,0.00039985748267837106,V63
264,0.0003890347798999089,V211
319,0.00037383717487399687,V266
198,0.0003686624808366405,V145
219,0.00036728029679246516,V166
286,0.0003550278523759017,V233
161,0.0003512683863942325,V108
289,0.00034751998398714395,V236
385,0.00034332410151554174,V332
216,0.0003397784402855285,V163
173,0.00033886940780470857,V120
68,0.00033724684226219253,V15
217,0.00032223480017583257,V164
399,0.0003164401801585151,id_07
416,0.00031212084691067835,id_24
387,0.0003105949631322494,V334
213,0.00030510849668893164,V160
218,0.0002946043966591283,V165
259,0.00028840720236594027,V206
206,0.0002864334735100236,V153
215,0.000284228330735366,V162
142,0.0002824235017649293,V89
164,0.00028125615706272434,V111
75,0.00027073632745687996,V22
196,0.0002613086562557652,V143
389,0.00026076976181882655,V336
175,0.0002544845301564615,V122
197,0.000253649408324336,V144
246,0.00025297185136040633,V193
322,0.0002512215639346242,V269
355,0.00024919048353929876,V302
384,0.0002411286316425114,V331
414,0.00023665343861788507,id_22
386,0.0002308091507122333,V333
74,0.0002095912934953565,V21
418,0.00020828531498573094,id_26
124,0.0002061808164418635,V71
260,0.00020552767620857945,V207
192,0.000199446858647935,V139
293,0.0001973390317444135,V240
194,0.00019388601672239663,V141
166,0.00019378386513989754,V113
70,0.00019041841803482085,V17
391,0.00017409481366417227,V338
81,0.0001708185590187015,V28
170,0.00015461932158744037,V117
390,0.0001519578330970151,V337
279,0.00014491274250016988,V226
199,0.00014317588446421486,V146
191,0.00012495898576623854,V138
141,0.00012490239299449305,V88
427,0.00011974101254579107,id_35
84,0.00011814328568418448,V31
249,0.00010950986382422213,V196
380,0.00010342790766362563,V327
195,0.00010024953467704867,V142
67,9.800434387016033e-05,V14
419,9.709814385736906e-05,id_27
69,8.619541861461755e-05,V16
383,8.560907853721972e-05,V330
212,8.453519539716186e-05,V159
171,8.44655393398561e-05,V118
392,7.921930266677348e-05,V339
388,5.963532037612562e-05,V335
160,4.812911942190603e-05,V107
18,4.7153788216280644e-05,C3
294,4.198191219496721e-05,V241
174,4.048875245033876e-05,V121
172,3.652715288479874e-05,V119
378,1.5224243060806086e-05,V325
358,0.0,V305
