,importance,feature
2,0.02213061463353406,TransactionAmt
0,0.02047314187053311,TransactionID
1,0.02004076873900373,TransactionDT
4,0.018684711508815767,card1
5,0.018604679086071413,card2
10,0.015236710944468832,addr1
14,0.012669890228883485,P_emaildomain
29,0.012518518600498758,C14
28,0.01210525090792346,C13
8,0.011851016819527337,card5
9,0.01114967594004666,card6
16,0.009784141681316387,C1
139,0.009003618856721924,V86
7,0.008577444453772232,card4
26,0.00837036751228484,C11
17,0.007902322330288654,C2
243,0.007854194757167088,V190
21,0.007759535545106151,C6
76,0.00767220732344419,V23
44,0.00706403040182179,D15
310,0.006742997120982116,V257
12,0.0067364836971313125,dist1
98,0.0064207238526697245,V45
11,0.006192460695729369,addr2
30,0.006068465088604208,D1
242,0.00592503851399844,V189
31,0.005874038527625383,D2
48,0.005827359145198406,M4
15,0.0058051572853988756,R_emaildomain
50,0.005744450049508594,M6
360,0.005590357256352041,V307
33,0.00534712447997504,D4
39,0.00530063783394483,D10
394,0.00529472369748172,id_02
336,0.005281379090472677,V283
412,0.005232362721550726,id_20
27,0.0052262865120707245,C12
299,0.0050721615364469905,V246
347,0.004829291213721628,V294
252,0.00481341167328489,V199
311,0.0048010452965554255,V258
423,0.0047214391725786,id_31
49,0.0046418211262868265,M5
38,0.004586359508410206,D9
363,0.004584090440896883,V310
393,0.004542077543919056,id_01
24,0.004541736486449956,C9
140,0.004499581759215057,V87
411,0.004478583683825649,id_19
106,0.0043608723757438605,V53
136,0.004325643922230694,V83
115,0.004320817075743761,V62
361,0.004262083083798813,V308
147,0.004255345628379545,V94
370,0.004247860508363799,V317
253,0.004219392968089444,V200
366,0.004202757962977347,V313
367,0.004167934431416094,V314
65,0.0041386261570471325,V12
432,0.004132980343264279,DeviceInfo
40,0.004131858661835932,D11
335,0.004121767844561736,V282
250,0.004102412244255262,V197
114,0.004101558273058865,V61
97,0.00409806987577368,V44
344,0.0039944359373727135,V291
368,0.003947087570114967,V315
241,0.003877044014423084,V188
180,0.0038474725946390856,V127
365,0.0038195623799673803,V312
32,0.003784827125502793,D3
405,0.0037666381078699297,id_13
397,0.003754175160870686,id_05
34,0.0037264181406876226,D5
6,0.0037205271471097666,card3
338,0.003677508254320407,V285
183,0.0036691200723730525,V130
398,0.0036554768807598005,id_06
272,0.003576382913612175,V219
123,0.003575646931706803,V70
254,0.0035567933647207436,V201
229,0.003540372326954705,V176
52,0.0034828965206869316,M8
131,0.0034644803672007883,V78
297,0.0034140759529089383,V244
23,0.003402398271576948,C8
149,0.0033235387754282446,V96
342,0.003305502253237707,V289
129,0.003275803964919409,V76
53,0.00327375821588163,M9
91,0.0032676479227164114,V38
95,0.0032668918657111036,V42
107,0.003261856751695634,V54
155,0.0032533222185612077,V102
341,0.0032480261779487137,V288
73,0.003246680752338705,V20
207,0.00324357100595251,V154
135,0.0032246986038589726,V82
66,0.0032143278298536375,V13
181,0.003195911295058812,V128
128,0.0031686718740009806,V75
130,0.003107607318204675,V77
340,0.00303935424805325,V287
371,0.003037696203749061,V318
410,0.0030248518813989775,id_18
296,0.00298626625454045,V243
184,0.0029803824735430903,V131
359,0.0029654012922328008,V306
427,0.0029621717758215984,id_35
77,0.0029382391698829515,V24
72,0.0029334063719227755,V19
25,0.0028880792209926547,C10
186,0.0028809627692224027,V133
407,0.0028700410426689377,id_15
334,0.002823796122286136,V281
247,0.002802124663218974,V194
51,0.002793250318789138,M7
295,0.002790353903775012,V242
333,0.002789760874851557,V280
209,0.0027339653260862063,V156
420,0.002712072620700759,id_28
105,0.002679642505655287,V52
152,0.0026597561091718054,V99
285,0.0026466645867310743,V232
120,0.002634622528841156,V67
348,0.0026217042706864575,V295
19,0.0026114591118164875,C4
