,importance,feature
254,0.14179367535592272,V201
16,0.10323909253493319,C1
311,0.08231410087820952,V258
29,0.0661245931993277,C14
242,0.053541093299685205,V189
28,0.04428528549702929,C13
27,0.031546977735362615,C12
98,0.028054560815127298,V45
297,0.02778037274734629,V244
23,0.021307051717534036,C8
209,0.016337714016309877,V156
5,0.016284400818179987,card2
347,0.016012519927363845,V294
370,0.015056350743606535,V317
240,0.014591297968626292,V187
336,0.011989809373541483,V283
2,0.011516129155002051,TransactionAmt
15,0.01036286175324981,R_emaildomain
6,0.009447338285270258,card3
31,0.009250624594574215,D2
115,0.008891127220347487,V62
9,0.008402652233386715,card6
262,0.008288749755060401,V209
48,0.008013373948570133,M4
393,0.007726863277477765,id_01
263,0.007372196398753212,V210
409,0.00696935287886542,id_17
361,0.006873273959308082,V308
19,0.0067755923169504975,C4
26,0.006766802002577206,C11
334,0.006731339248884452,V281
368,0.00639516911458158,V315
87,0.006097870588295353,V34
207,0.004932523610481642,V154
202,0.004755953496738431,V149
326,0.00468137127761699,V273
32,0.004589691747898693,D3
25,0.004586519834160726,C10
272,0.004569683730222725,V219
348,0.004407251833439387,V295
377,0.004250878308554365,V324
17,0.004187871217822341,C2
425,0.004060336166271557,id_33
106,0.0037188628148234616,V53
186,0.0035076984671587558,V133
0,0.003443543284774549,TransactionID
125,0.00344035773565807,V72
140,0.0033469525938980746,V87
432,0.003243669878517588,DeviceInfo
395,0.003192650497507513,id_03
260,0.002907778304072148,V207
3,0.002848553481618551,ProductCD
270,0.0027978537908375564,V217
44,0.0026920006616944245,D15
365,0.00261302870827718,V312
144,0.0026106397139931295,V91
314,0.002590283459295289,V261
123,0.002375767097038173,V70
24,0.0023559121791431182,C9
33,0.0023126800980035186,D4
10,0.0022527440488121254,addr1
183,0.0022234271839302287,V130
349,0.0020089638750180367,V296
215,0.0019965824049319697,V162
304,0.001929445653137844,V251
1,0.0019277989063792244,TransactionDT
93,0.0018620577697302024,V40
224,0.0018544134030149765,V171
205,0.0017202221204750325,V152
65,0.0016344925517276518,V12
342,0.0015319797206552784,V289
310,0.0014649411339801028,V257
129,0.0014612124432004184,V76
422,0.0014272679579796627,id_30
109,0.0014146018947708949,V56
363,0.0014100090407957232,V310
200,0.0014098048641597598,V147
37,0.001394673021064936,D8
222,0.001389823857366618,V169
