,importance,feature
5,137,card2
4,122,card1
2,121,TransactionAmt
10,92,addr1
0,85,TransactionID
28,79,C13
44,65,D15
16,62,C1
14,60,P_emaildomain
29,60,C14
15,58,R_emaildomain
30,56,D1
8,54,card5
21,53,C6
26,51,C11
31,50,D2
6,46,card3
33,42,D4
12,39,dist1
9,36,card6
17,36,C2
37,34,D8
39,33,D10
412,30,id_20
48,30,M4
423,30,id_31
24,27,C9
27,26,C12
50,24,M6
432,23,DeviceInfo
363,22,V310
20,22,C5
393,22,id_01
3,21,ProductCD
422,21,id_30
40,21,D11
425,20,id_33
106,20,V53
23,19,C8
366,18,V313
49,18,M5
368,18,V315
218,18,V165
394,18,id_02
32,17,D3
98,16,V45
1,16,TransactionDT
91,15,V38
108,15,V55
334,15,V281
365,14,V312
397,14,id_05
349,14,V296
406,13,id_14
114,13,V61
347,13,V294
338,13,V285
7,13,card4
115,13,V62
401,13,id_09
336,12,V283
135,12,V82
42,12,D13
140,12,V87
136,11,V83
18,11,C3
398,10,id_06
41,10,D12
273,10,V220
409,10,id_17
395,10,id_03
73,10,V20
183,10,V130
101,10,V48
411,10,id_19
129,10,V76
373,10,V320
309,9,V256
330,9,V277
360,9,V307
90,9,V37
367,8,V314
396,8,id_04
109,8,V56
120,8,V67
240,8,V187
123,8,V70
130,8,V77
405,8,id_13
25,8,C10
47,8,M3
431,7,DeviceType
144,7,V91
361,7,V308
43,7,D14
320,7,V267
128,7,V75
35,7,D6
184,7,V131
107,7,V54
202,7,V149
262,6,V209
254,6,V201
58,6,V5
222,6,V169
370,6,V317
241,6,V188
311,5,V258
87,5,V34
193,5,V140
66,5,V13
196,5,V143
353,5,V300
344,5,V291
205,5,V152
78,5,V25
209,5,V156
97,5,V44
314,5,V261
379,5,V326
152,5,V99
34,5,D5
53,5,M9
186,5,V133
79,5,V26
19,4,C4
362,4,V309
400,4,id_08
59,4,V6
149,4,V96
413,4,id_21
88,4,V35
134,4,V81
147,4,V94
65,4,V12
388,4,V335
131,4,V78
410,4,id_18
13,4,dist2
424,4,id_32
122,4,V69
119,4,V66
220,4,V167
132,4,V79
215,4,V162
180,4,V127
77,4,V24
182,3,V129
162,3,V109
371,3,V318
392,3,V339
430,3,id_38
181,3,V128
364,3,V311
223,3,V170
46,3,M2
319,3,V266
228,3,V175
192,3,V139
242,3,V189
325,3,V272
351,3,V298
415,3,id_23
100,3,V47
341,3,V288
102,3,V49
287,3,V234
272,3,V219
346,3,V293
269,3,V216
333,3,V280
315,3,V262
332,3,V279
298,3,V245
250,3,V197
237,3,V184
258,3,V205
354,3,V301
312,3,V259
304,3,V251
60,3,V7
213,2,V160
203,2,V150
342,2,V289
279,2,V226
345,2,V292
310,2,V257
276,2,V223
259,2,V206
214,2,V161
263,2,V210
335,2,V282
307,2,V254
302,2,V249
200,2,V147
217,2,V164
369,2,V316
224,2,V171
331,2,V278
343,2,V290
321,2,V268
125,2,V72
189,2,V136
83,2,V30
72,2,V19
113,2,V60
86,2,V33
117,2,V64
383,2,V330
179,2,V126
138,2,V85
417,2,id_25
57,2,V4
164,2,V111
55,2,V2
191,2,V138
89,2,V36
51,2,M7
11,2,addr2
156,2,V103
126,2,V73
38,2,D9
198,2,V145
105,2,V52
277,1,V224
104,1,V51
275,1,V222
274,1,V221
348,1,V295
110,1,V57
112,1,V59
270,1,V217
116,1,V63
96,1,V43
350,1,V297
407,1,id_15
124,1,V71
199,1,V146
99,1,V46
377,1,V324
280,1,V227
283,1,V230
429,1,id_37
324,1,V271
326,1,V273
56,1,V3
327,1,V274
426,1,id_34
62,1,V9
303,1,V250
63,1,V10
64,1,V11
420,1,id_28
297,1,V244
296,1,V243
76,1,V23
82,1,V29
260,1,V207
284,1,V231
339,1,V286
261,1,V208
176,1,V123
389,1,V336
236,1,V183
165,1,V112
233,1,V180
372,1,V319
190,1,V137
168,1,V115
127,1,V74
399,1,id_07
171,1,V118
187,1,V134
227,1,V174
226,1,V173
174,1,V121
219,1,V166
155,1,V102
385,1,V332
151,1,V98
356,1,V303
133,1,V80
204,1,V151
253,1,V200
251,1,V198
139,1,V86
248,1,V195
359,1,V306
143,1,V90
374,1,V321
376,0,V323
381,0,V328
323,0,V270
428,0,id_36
427,0,id_35
375,0,V322
378,0,V325
382,0,V329
328,0,V275
329,0,V276
384,0,V331
380,0,V327
352,0,V299
322,0,V269
414,0,id_22
408,0,id_16
355,0,V302
357,0,V304
358,0,V305
404,0,id_12
403,0,id_11
402,0,id_10
391,0,V338
421,0,id_29
416,0,id_24
390,0,V337
340,0,V287
418,0,id_26
419,0,id_27
387,0,V334
386,0,V333
337,0,V284
231,0,V178
318,0,V265
163,0,V110
145,0,V92
146,0,V93
148,0,V95
150,0,V97
153,0,V100
154,0,V101
157,0,V104
158,0,V105
159,0,V106
160,0,V107
161,0,V108
166,0,V113
141,0,V88
167,0,V114
169,0,V116
170,0,V117
172,0,V119
173,0,V120
175,0,V122
177,0,V124
178,0,V125
185,0,V132
188,0,V135
194,0,V141
142,0,V89
137,0,V84
317,0,V264
74,0,V21
22,0,C7
36,0,D7
45,0,M1
52,0,M8
54,0,V1
61,0,V8
67,0,V14
68,0,V15
69,0,V16
70,0,V17
71,0,V18
75,0,V22
121,0,V68
80,0,V27
81,0,V28
84,0,V31
85,0,V32
92,0,V39
93,0,V40
94,0,V41
95,0,V42
103,0,V50
111,0,V58
118,0,V65
195,0,V142
197,0,V144
201,0,V148
291,0,V238
267,0,V214
268,0,V215
271,0,V218
278,0,V225
281,0,V228
282,0,V229
285,0,V232
286,0,V233
288,0,V235
289,0,V236
290,0,V237
292,0,V239
206,0,V153
293,0,V240
294,0,V241
295,0,V242
299,0,V246
300,0,V247
301,0,V248
305,0,V252
306,0,V253
308,0,V255
313,0,V260
316,0,V263
266,0,V213
265,0,V212
264,0,V211
257,0,V204
207,0,V154
208,0,V155
210,0,V157
211,0,V158
212,0,V159
221,0,V168
225,0,V172
229,0,V176
230,0,V177
232,0,V179
234,0,V181
235,0,V182
238,0,V185
239,0,V186
243,0,V190
244,0,V191
245,0,V192
246,0,V193
247,0,V194
249,0,V196
252,0,V199
255,0,V202
256,0,V203
216,0,V163
