,importance,feature
0,0.0284426053765887,TransactionID
1,0.02695218684320412,TransactionDT
2,0.025043742451320954,TransactionAmt
4,0.023745324524829414,card1
5,0.022364205575757804,card2
16,0.01991101227080699,C1
10,0.01872217187962148,addr1
254,0.01828752952252732,V201
28,0.0163431348857804,C13
242,0.012973496900775566,V189
27,0.012217902484088779,C12
29,0.012063069159451238,C14
311,0.011892757301666246,V258
14,0.011295513710752875,P_emaildomain
241,0.01117217459079799,V188
8,0.010324603949704619,card5
297,0.009738883051128914,V244
17,0.009729173236292653,C2
26,0.009514485649182246,C11
21,0.009514467612410859,C6
31,0.00909533293138465,D2
252,0.008972990760221525,V199
44,0.008915738506845811,D15
12,0.008249200762454775,dist1
30,0.007791186516117386,D1
394,0.00775048583146349,id_02
361,0.007600023254844977,V308
360,0.007427807450300533,V307
98,0.0071132939508027635,V45
33,0.007091194128033316,D4
39,0.0070129161741595844,D10
363,0.006780442987591849,V310
317,0.006078734290489764,V264
9,0.006000233810475597,card6
318,0.005936775981733964,V265
256,0.005845989466997916,V203
266,0.0058085193303306255,V213
23,0.005666327278195484,C8
423,0.005648214554654434,id_31
7,0.005593026759813413,card4
371,0.005549104104148461,V318
412,0.005547246777646686,id_20
368,0.005246856928283545,V315
336,0.00523590084579196,V283
25,0.005157805080425099,C10
298,0.0050390372468066035,V245
40,0.005022759220348211,D11
367,0.004937064221578204,V314
34,0.004932757183627429,D5
19,0.004855772610794309,C4
411,0.004779190884436139,id_19
366,0.004755414315494251,V313
432,0.004636265682995846,DeviceInfo
24,0.0046099329506608154,C9
180,0.004488150003548273,V127
186,0.004458522318883613,V133
335,0.004426685587159925,V282
32,0.004364617391405914,D3
202,0.004354147059740306,V149
365,0.004161182536532947,V312
397,0.004132068913544056,id_05
183,0.004099432839586374,V130
229,0.004099041592764975,V176
370,0.004060624196838286,V317
181,0.0040105772418450045,V128
393,0.003896673333371394,id_01
37,0.003876455840710622,D8
312,0.0038727730360546774,V259
359,0.003849103846295677,V306
139,0.003832796349113166,V86
240,0.003798902084497093,V187
15,0.003758885849701836,R_emaildomain
50,0.0037584964371203122,M6
140,0.0037412198096810935,V87
310,0.003559383539198256,V257
338,0.0034882887515573363,V285
136,0.003417177560942689,V83
48,0.0034167602690820236,M4
405,0.0033586523795848134,id_13
77,0.0032971510044019427,V24
97,0.003286597828708272,V44
398,0.003281950532866767,id_06
115,0.0032782826160814888,V62
187,0.003216020847275635,V134
49,0.003055983770665068,M5
347,0.0030290950441401484,V294
184,0.003027896963192618,V131
53,0.002910535711485041,M9
129,0.0028902965473050182,V76
52,0.0028850092985458907,M8
155,0.0028847643876474486,V102
41,0.002856169318853848,D12
109,0.002838483804605764,V56
245,0.002832134525204007,V192
344,0.00279767769750787,V291
73,0.00278140001422844,V20
179,0.0027751435885612205,V126
333,0.002753685445312916,V280
149,0.0027486068213044266,V96
296,0.002714095037482053,V243
76,0.0026711456615307917,V23
66,0.002657094538253401,V13
106,0.002646057829311801,V53
38,0.0026048527762089725,D9
6,0.0025961869785171916,card3
107,0.002593078180770374,V54
247,0.00255567667196871,V194
13,0.0025506515125630945,dist2
332,0.002549889687952889,V279
286,0.0025352214567661313,V233
114,0.0024902420283726516,V61
373,0.0024648619185098863,V320
152,0.0024609289392314875,V99
91,0.00245629503547313,V38
47,0.0024422018581772326,M3
362,0.0024171894563049597,V309
422,0.00237337598536938,id_30
65,0.002305633053031307,V12
131,0.0022940180810231726,V78
233,0.0022601588735431245,V180
128,0.0022404103041247666,V75
253,0.0022140061641463217,V200
22,0.002208400834456316,C7
135,0.0022033271860079774,V82
35,0.0021736308012505626,D6
51,0.002165708788773676,M7
260,0.0021644838387176266,V207
58,0.0020908772615866604,V5
20,0.0020865624450207513,C5
89,0.0020705673595923313,V36
189,0.0020520025752401136,V136
410,0.001997217988962793,id_18
46,0.001996808637068267,M2
72,0.0019420295049123928,V19
120,0.0019408364384159236,V67
349,0.0019405671368183197,V296
425,0.0019247492269862199,id_33
299,0.0019119405694836469,V246
150,0.00191098900769745,V97
334,0.0019066399674062178,V281
342,0.0019064106605022094,V289
395,0.0018945831101813938,id_03
326,0.001831972118628897,V273
251,0.0018195255706171367,V198
130,0.0018173452984469865,V77
321,0.001792062689247796,V268
340,0.0017915615896410015,V287
369,0.001781669830716663,V316
348,0.001752610048115303,V295
88,0.00173345554336008,V35
401,0.0017315717254151066,id_09
43,0.0017159759875680822,D14
57,0.0017049319971178592,V4
156,0.001678402666416996,V103
100,0.0016682253804064808,V47
271,0.0015796523867745538,V218
182,0.0015656337571256687,V129
185,0.001522329434645352,V132
316,0.001505738319464159,V263
90,0.0015055453016077501,V37
409,0.0015026298620309504,id_17
190,0.001493856571946001,V137
374,0.001488404771648155,V321
263,0.001485598578322419,V210
327,0.0014729418787850538,V274
123,0.0014465980025098906,V70
261,0.0014429695856136321,V208
127,0.001433274755053844,V74
86,0.00143110780894136,V33
119,0.001429058332151033,V66
345,0.0014114532226101148,V292
105,0.0014032194418480846,V52
153,0.001400242648349174,V100
224,0.0013994316977525912,V171
79,0.0013884070207766973,V26
351,0.0013857317812118407,V298
406,0.0013836617628944393,id_14
92,0.0013633431791470545,V39
257,0.0013632898940896196,V204
56,0.0013536138975532967,V3
431,0.001346013584063685,DeviceType
341,0.0013241475512003056,V288
108,0.0012959898922930235,V55
60,0.0012930092075094767,V7
264,0.0012765447795734428,V211
147,0.0012650227815141906,V94
320,0.0012438073697877338,V267
304,0.0012363036912826002,V251
143,0.0012343934283992582,V90
315,0.001232982185881802,V262
274,0.0011942188952536027,V221
148,0.0011889328030741456,V95
375,0.0011836447099117765,V322
96,0.0011784768183045532,V43
255,0.001177296537172689,V202
295,0.0011546800653702458,V242
99,0.0011542043989887112,V46
93,0.0011391635501306033,V40
63,0.0011355516467422245,V10
285,0.0011335798456019943,V232
158,0.0011290580694172177,V105
188,0.0011273271610157617,V135
427,0.0011113915731827686,id_35
62,0.0011004593728573342,V9
42,0.0010962598912828384,D13
122,0.0010911931330396822,V69
330,0.0010807401348225608,V277
11,0.001076805116789062,addr2
430,0.001076569920564821,id_38
104,0.0010728505031060787,V51
379,0.001067476476446708,V326
275,0.0010653973976156373,V222
314,0.0010652939191655734,V261
354,0.001059574759116818,V301
319,0.0010535999829508933,V266
262,0.0010524443359048064,V209
407,0.0010491825690328218,id_15
268,0.00104649111786117,V215
265,0.0010385830095016983,V212
59,0.0010336223428459444,V6
3,0.0010214646805602411,ProductCD
386,0.0010180053702729033,V333
111,0.0010055947323813243,V58
328,0.0009986380037248974,V275
177,0.000997595860068951,V124
154,0.0009948634851496422,V101
376,0.0009898746647201693,V323
323,0.0009818097380606963,V270
346,0.0009766517395999475,V293
64,0.0009721546119466675,V11
352,0.0009592121264191257,V299
337,0.0009314049633471231,V284
408,0.0009293482581584625,id_16
284,0.0009240643199278154,V231
324,0.0009228392697913862,V271
36,0.0009197268754438298,D7
309,0.0009096427439481813,V256
209,0.0009028937050719311,V156
55,0.0009008213104965421,V2
396,0.0008983066140087945,id_04
163,0.000891664797469395,V110
87,0.0008803575779854394,V34
221,0.0008782316454859922,V168
95,0.0008725985293801254,V42
325,0.0008693466738411655,V272
231,0.0008651340006236938,V178
102,0.0008605157804999933,V49
424,0.000855503483543466,id_32
329,0.000852833388369125,V276
364,0.0008526925211038281,V311
61,0.0008456187746454223,V8
353,0.0008347787397026572,V300
277,0.000833471578155671,V224
134,0.0008304149274705351,V81
83,0.0008231361218083321,V30
372,0.0008151586340734204,V319
208,0.000809940097223623,V155
206,0.0008090740591778559,V153
343,0.0008045008053354616,V290
78,0.0008018516333583967,V25
228,0.0007809722796084135,V175
276,0.0007719215524537406,V223
227,0.0007640177463344937,V174
205,0.000763456008564636,V152
278,0.0007598393219723046,V225
159,0.0007549375503031611,V106
283,0.0007521281891703258,V230
168,0.0007497176883206592,V115
204,0.0007491163158961645,V151
176,0.000746830398410634,V123
429,0.0007243795659059798,id_37
196,0.0007195550517156393,V143
178,0.0007085616108841714,V125
213,0.0007078848741223098,V160
313,0.0007074603721985486,V260
138,0.0007045309515686869,V85
232,0.0007019669523333492,V179
207,0.0007009671842176194,V154
126,0.0007009196830988648,V73
201,0.0007009095086807079,V148
103,0.0006991535951647999,V50
132,0.0006967057518058415,V79
331,0.0006928873360542809,V278
220,0.0006928608645248917,V167
223,0.0006894215968658304,V170
307,0.0006856346757285935,V254
287,0.0006855472197488225,V234
282,0.0006793474002941345,V229
356,0.0006681205382535284,V303
402,0.0006667053799801258,id_10
101,0.0006654349594587546,V48
258,0.000664959420818945,V205
45,0.000663184112272546,M1
308,0.0006600116045179688,V255
426,0.0006384436082275208,id_34
280,0.0006370080834689505,V227
303,0.0006359380282928796,V250
125,0.0006285026404215429,V72
300,0.00062588050651852,V247
385,0.0006212446165293615,V332
117,0.0006193129978664866,V64
289,0.0006127446116676898,V236
193,0.0006099885855401393,V140
403,0.0006055737389770547,id_11
151,0.0005939689580404297,V98
82,0.0005935067055806803,V29
203,0.0005923732083126088,V150
267,0.0005910700980026187,V214
146,0.0005881115444376484,V93
420,0.000585785995751166,id_28
218,0.0005710259149630778,V165
377,0.000569820673508792,V324
269,0.0005672244994204781,V216
54,0.0005647674866422481,V1
94,0.000559739478432671,V41
113,0.0005586724863888922,V60
259,0.0005558306539757706,V206
392,0.0005497724301111434,V339
211,0.0005454380287834992,V158
272,0.0005446673685223656,V219
217,0.0005238894996504567,V164
339,0.0005226258996896237,V286
137,0.0005104689067708388,V84
69,0.0005100771250230674,V16
238,0.0005075517028982981,V185
281,0.0004939877775813828,V228
421,0.0004902758420646397,id_29
200,0.0004865719055308049,V147
162,0.0004860255657705881,V109
133,0.00048345875364033317,V80
400,0.00048086125470437057,id_08
306,0.00047914355330179345,V253
112,0.00047896787851412664,V59
169,0.0004722421065418006,V116
250,0.00046762969578073723,V197
145,0.00046520745128053717,V92
215,0.00046314068769646977,V162
350,0.00045688896265881477,V297
198,0.00045456541998345614,V145
144,0.000453891801215217,V91
225,0.0004527255079694958,V172
248,0.00043782250007795353,V195
214,0.0004374742350870594,V161
85,0.00043604333026256306,V32
237,0.0004225469073020128,V184
157,0.0004187198501154276,V104
273,0.00041833404544977835,V220
270,0.0004063978013175327,V217
404,0.0003951987434786812,id_12
116,0.0003951493155921325,V63
301,0.00038980361122482833,V248
290,0.00038704558844773713,V237
219,0.00037828361552154095,V166
222,0.0003780779723445178,V169
243,0.00037169373269703,V190
288,0.00036985042540630314,V235
192,0.00036701428555655695,V139
216,0.00036510106338586947,V163
291,0.00036346564194025626,V238
428,0.00036041974733115454,id_36
390,0.0003601611622202173,V337
70,0.00035356649847248555,V17
212,0.00034110294851201657,V159
234,0.00033482709591586883,V181
230,0.0003327522100385073,V177
418,0.0003298204608577225,id_26
417,0.00032961672191111186,id_25
235,0.00032833390943919066,V182
388,0.0003236509146484008,V335
110,0.00032213707353595674,V57
399,0.0003199150203257827,id_07
302,0.0003115095362027415,V249
165,0.0003106327313579555,V112
239,0.0003084638560188192,V186
236,0.0003079543764089812,V183
75,0.00030775632114171246,V22
292,0.0003065568584498459,V239
391,0.0003062371304025037,V338
279,0.00030337465668061833,V226
357,0.0002976277620942891,V304
142,0.0002935417194379004,V89
389,0.0002923782833430825,V336
413,0.0002922524400264873,id_21
384,0.00028715563290786494,V331
416,0.0002794946807158911,id_24
141,0.00027445492207864915,V88
124,0.00026452200651032423,V71
226,0.0002627188723080675,V173
382,0.00026183079653658057,V329
74,0.0002592909547762752,V21
415,0.0002568610383312313,id_23
84,0.00025625265985714836,V31
71,0.00025517739452493197,V18
210,0.00024189473237151238,V157
197,0.00023935001449354462,V144
355,0.00023840414385005,V302
383,0.00022794251285342828,V330
246,0.0002239066954179222,V193
195,0.00021537153566327086,V142
381,0.00021469589659856044,V328
166,0.00021185101559537665,V113
167,0.00021004953125989647,V114
161,0.0002056740366597106,V108
199,0.00020211654564418995,V146
305,0.0001940019424100561,V252
380,0.00019101726391767236,V327
68,0.00018447063528728515,V15
194,0.00018073393680365394,V141
191,0.00017510586168652676,V138
414,0.00017284842849170812,id_22
387,0.00016942943016943858,V334
244,0.0001663119405996928,V191
118,0.0001649582108645194,V65
164,0.00015539259498392714,V111
249,0.00015405823663044765,V196
174,0.00015150836294396802,V121
322,0.0001496840426375482,V269
80,0.00014171342576832721,V27
67,0.00011179583110663539,V14
121,0.0001053387972735309,V68
293,9.785541855288407e-05,V240
81,9.442853023790816e-05,V28
175,8.249381553619512e-05,V122
170,7.312195387685734e-05,V117
172,6.232974244306636e-05,V119
294,6.116004364647623e-05,V241
378,5.8834645044091525e-05,V325
171,5.4668894519585336e-05,V118
419,5.047451069752876e-05,id_27
18,4.413866601179691e-05,C3
173,3.5351420445972574e-05,V120
160,6.3288200900741375e-06,V107
358,0.0,V305
