,importance,feature
311,0.067094706,V258
299,0.059358146,V246
254,0.048960935,V201
240,0.0412336,V187
19,0.032052364,C4
297,0.028063225,V244
242,0.02725432,V189
87,0.024657745,V34
144,0.022995261,V91
123,0.021959877,V70
20,0.020048127,C5
82,0.017097237,V29
409,0.01685268,id_17
209,0.01554329,V156
347,0.01552954,V294
23,0.015527149,C8
98,0.015168951,V45
348,0.013962325,V295
361,0.013373847,V308
16,0.01298128,C1
336,0.012139687,V283
278,0.011080125,V225
26,0.010641459,C11
29,0.010598682,C14
368,0.010485708,V315
32,0.009924082,D3
386,0.009451876,V333
31,0.009415694,D2
310,0.00876517,V257
370,0.008729668,V317
28,0.00846734,C13
9,0.008367067,card6
366,0.008119452,V313
22,0.008031127,C7
334,0.007357872,V281
332,0.0069610984,V279
186,0.0068067284,V133
262,0.0067670373,V209
27,0.0066961176,C12
406,0.0065137795,id_14
424,0.006417572,id_32
6,0.0063722846,card3
431,0.006131822,DeviceType
101,0.0060117026,V48
48,0.0057752174,M4
385,0.0055332044,V332
360,0.0055240863,V307
106,0.005511294,V53
17,0.005442646,C2
395,0.00527443,id_03
24,0.0052721296,C9
202,0.005171789,V149
187,0.004940364,V134
179,0.0048140604,V126
364,0.0046993047,V311
276,0.004630984,V223
260,0.0045895693,V207
15,0.004477323,R_emaildomain
65,0.0043758284,V12
115,0.0043137437,V62
377,0.00424995,V324
0,0.004201618,TransactionID
270,0.0041840044,V217
120,0.004104554,V67
263,0.0040768594,V210
379,0.0040271296,V326
93,0.0039991005,V40
183,0.0038680867,V130
44,0.0038148959,D15
398,0.0038107636,id_06
5,0.0037496793,card2
118,0.0036195198,V65
21,0.0035240015,C6
280,0.0034935419,V227
393,0.0034713566,id_01
30,0.0034357484,D1
215,0.0034057405,V162
205,0.0033897774,V152
14,0.003261178,P_emaildomain
39,0.0032552076,D10
388,0.0031980588,V335
365,0.0031699615,V312
88,0.0030804323,V35
425,0.0030457622,id_33
349,0.0029376529,V296
2,0.0029064568,TransactionAmt
410,0.002902128,id_18
49,0.0028946733,M5
46,0.002585615,M2
129,0.0025695167,V76
107,0.0025201917,V54
218,0.0024894932,V165
314,0.0024180606,V261
50,0.0023725687,M6
134,0.0023010932,V81
135,0.0022510593,V82
200,0.0022464702,V147
196,0.0022179259,V143
91,0.0022032373,V38
432,0.002195211,DeviceInfo
217,0.0021575682,V164
33,0.002104175,D4
37,0.0020978744,D8
412,0.0020785942,id_20
108,0.0020573495,V55
302,0.002039784,V249
401,0.0020125313,id_09
12,0.002011775,dist1
397,0.0019841818,id_05
3,0.001950059,ProductCD
363,0.0019057082,V310
4,0.0018816934,card1
47,0.0018351976,M3
309,0.0017471686,V256
149,0.0016436945,V96
131,0.0015375149,V78
153,0.001534538,V100
86,0.0015245255,V33
338,0.0014929078,V285
222,0.0014267528,V169
195,0.0014186265,V142
109,0.0014121517,V56
184,0.0013432754,V131
8,0.0012971883,card5
152,0.0012807976,V99
42,0.0012345036,D13
373,0.0011962119,V320
128,0.0011406811,V75
423,0.0011103312,id_31
286,0.0010763917,V233
325,0.0010580565,V272
244,0.0010431195,V191
224,0.000999351,V171
10,0.0009930958,addr1
396,0.00091300637,id_04
422,0.0007888462,id_30
400,0.0007518817,id_08
66,0.0006920469,V13
102,0.0006624459,V49
182,0.0006593938,V129
136,0.0006125226,V83
231,0.00060000445,V178
287,0.0005248533,V234
25,0.00049716746,C10
356,0.00047471357,V303
265,0.00044304648,V212
342,0.00039334118,V289
180,0.0003254023,V127
7,0.0002719271,card4
301,0.0,V248
329,0.0,V276
291,0.0,V238
290,0.0,V237
289,0.0,V236
288,0.0,V235
285,0.0,V232
284,0.0,V231
326,0.0,V273
327,0.0,V274
328,0.0,V275
283,0.0,V230
330,0.0,V277
323,0.0,V270
282,0.0,V229
331,0.0,V278
281,0.0,V228
55,0.0,V2
333,0.0,V280
61,0.0,V8
54,0.0,V1
335,0.0,V282
53,0.0,M9
337,0.0,V284
279,0.0,V226
339,0.0,V286
324,0.0,V271
322,0.0,V269
303,0.0,V250
58,0.0,V5
300,0.0,V247
304,0.0,V251
305,0.0,V252
59,0.0,V6
340,0.0,V287
306,0.0,V253
298,0.0,V245
307,0.0,V254
60,0.0,V7
296,0.0,V243
308,0.0,V255
295,0.0,V242
57,0.0,V4
321,0.0,V268
312,0.0,V259
313,0.0,V260
56,0.0,V3
315,0.0,V262
316,0.0,V263
317,0.0,V264
318,0.0,V265
294,0.0,V241
319,0.0,V266
293,0.0,V240
292,0.0,V239
320,0.0,V267
100,0.0,V47
358,0.0,V305
341,0.0,V288
394,0.0,id_02
405,0.0,id_13
404,0.0,id_12
403,0.0,id_11
402,0.0,id_10
399,0.0,id_07
13,0.0,dist2
18,0.0,C3
407,0.0,id_15
392,0.0,V339
391,0.0,V338
390,0.0,V337
389,0.0,V336
387,0.0,V334
34,0.0,D5
11,0.0,addr2
408,0.0,id_16
343,0.0,V290
420,0.0,id_28
430,0.0,id_38
429,0.0,id_37
428,0.0,id_36
427,0.0,id_35
426,0.0,id_34
421,0.0,id_29
419,0.0,id_27
411,0.0,id_19
418,0.0,id_26
417,0.0,id_25
416,0.0,id_24
415,0.0,id_23
414,0.0,id_22
413,0.0,id_21
384,0.0,V331
383,0.0,V330
382,0.0,V329
352,0.0,V299
359,0.0,V306
277,0.0,V224
357,0.0,V304
355,0.0,V302
354,0.0,V301
353,0.0,V300
351,0.0,V298
381,0.0,V328
350,0.0,V297
51,0.0,M7
52,0.0,M8
346,0.0,V293
345,0.0,V292
344,0.0,V291
45,0.0,M1
43,0.0,D14
362,0.0,V309
41,0.0,D12
40,0.0,D11
367,0.0,V314
38,0.0,D9
369,0.0,V316
371,0.0,V318
372,0.0,V319
374,0.0,V321
375,0.0,V322
376,0.0,V323
36,0.0,D7
378,0.0,V325
35,0.0,D6
380,0.0,V327
62,0.0,V9
266,0.0,V213
63,0.0,V10
159,0.0,V106
166,0.0,V113
165,0.0,V112
164,0.0,V111
163,0.0,V110
162,0.0,V109
161,0.0,V108
160,0.0,V107
158,0.0,V105
146,0.0,V93
157,0.0,V104
156,0.0,V103
155,0.0,V102
154,0.0,V101
151,0.0,V98
150,0.0,V97
148,0.0,V95
167,0.0,V114
168,0.0,V115
169,0.0,V116
170,0.0,V117
188,0.0,V135
79,0.0,V26
80,0.0,V27
185,0.0,V132
81,0.0,V28
181,0.0,V128
83,0.0,V30
178,0.0,V125
177,0.0,V124
176,0.0,V123
175,0.0,V122
174,0.0,V121
173,0.0,V120
172,0.0,V119
171,0.0,V118
147,0.0,V94
145,0.0,V92
190,0.0,V137
113,0.0,V60
92,0.0,V39
119,0.0,V66
94,0.0,V41
117,0.0,V64
116,0.0,V63
95,0.0,V42
114,0.0,V61
112,0.0,V59
84,0.0,V31
111,0.0,V58
110,0.0,V57
96,0.0,V43
97,0.0,V44
105,0.0,V52
104,0.0,V51
103,0.0,V50
121,0.0,V68
122,0.0,V69
90,0.0,V37
124,0.0,V71
143,0.0,V90
142,0.0,V89
141,0.0,V88
140,0.0,V87
139,0.0,V86
138,0.0,V85
137,0.0,V84
85,0.0,V32
133,0.0,V80
132,0.0,V79
130,0.0,V77
89,0.0,V36
127,0.0,V74
126,0.0,V73
125,0.0,V72
189,0.0,V136
191,0.0,V138
275,0.0,V222
246,0.0,V193
253,0.0,V200
252,0.0,V199
251,0.0,V198
250,0.0,V197
249,0.0,V196
248,0.0,V195
247,0.0,V194
245,0.0,V192
235,0.0,V182
243,0.0,V190
70,0.0,V17
241,0.0,V188
71,0.0,V18
239,0.0,V186
238,0.0,V185
237,0.0,V184
69,0.0,V16
255,0.0,V202
256,0.0,V203
257,0.0,V204
274,0.0,V221
273,0.0,V220
272,0.0,V219
271,0.0,V218
64,0.0,V11
269,0.0,V216
268,0.0,V215
267,0.0,V214
99,0.0,V46
264,0.0,V211
67,0.0,V14
261,0.0,V208
68,0.0,V15
259,0.0,V206
258,0.0,V205
236,0.0,V183
234,0.0,V181
192,0.0,V139
76,0.0,V23
74,0.0,V21
208,0.0,V155
207,0.0,V154
206,0.0,V153
75,0.0,V22
204,0.0,V151
203,0.0,V150
201,0.0,V148
233,0.0,V180
77,0.0,V24
199,0.0,V146
198,0.0,V145
197,0.0,V144
78,0.0,V25
194,0.0,V141
193,0.0,V140
210,0.0,V157
211,0.0,V158
212,0.0,V159
213,0.0,V160
232,0.0,V179
230,0.0,V177
229,0.0,V176
228,0.0,V175
227,0.0,V174
226,0.0,V173
225,0.0,V172
223,0.0,V170
221,0.0,V168
220,0.0,V167
219,0.0,V166
72,0.0,V19
1,0.0,TransactionDT
73,0.0,V20
214,0.0,V161
216,0.0,V163
